"id","RI","Raw.file","celltype","lcbatch","sortday","digest","cvm"
"i10","Reporter.intensity.corrected.10","XwAL00091","BxPC3","A","B","C",0.237307560479105
"i101","Reporter.intensity.corrected.5","XwAL00097","HPAFII","A","B","C",0.475938566479731
"i102","Reporter.intensity.corrected.6","XwAL00097","HPAFII","A","B","C",0.234696170683002
"i103","Reporter.intensity.corrected.7","XwAL00097","HPAFII","A","B","C",0.370797581796841
"i104","Reporter.intensity.corrected.8","XwAL00097","CFPACI","A","B","C",0.281332810715974
"i105","Reporter.intensity.corrected.9","XwAL00097","CFPACI","A","B","C",0.272102942678063
"i106","Reporter.intensity.corrected.10","XwAL00097","CFPACI","A","B","C",0.268918997062593
"i107","Reporter.intensity.corrected.11","XwAL00097","CFPACI","A","B","C",0.247482591002942
"i108","Reporter.intensity.corrected.12","XwAL00097","BxPC3","A","B","C",0.239357289708022
"i109","Reporter.intensity.corrected.13","XwAL00097","BxPC3","A","B","C",0.282136558645858
"i11","Reporter.intensity.corrected.11","XwAL00091","BxPC3","A","B","C",0.216416233406566
"i110","Reporter.intensity.corrected.14","XwAL00097","BxPC3","A","B","C",0.265389553126364
"i111","Reporter.intensity.corrected.15","XwAL00097","BxPC3","A","B","C",0.2707671803299
"i112","Reporter.intensity.corrected.16","XwAL00097","control","A","B","C",0.745237189879416
"i117","Reporter.intensity.corrected.5","XwAL00098","HPAFII","A","B","C",0.476432819172511
"i118","Reporter.intensity.corrected.6","XwAL00098","HPAFII","A","B","C",0.319677789587381
"i119","Reporter.intensity.corrected.7","XwAL00098","HPAFII","A","B","C",0.68462900510737
"i12","Reporter.intensity.corrected.12","XwAL00091","BxPC3","A","B","C",0.227718543582445
"i120","Reporter.intensity.corrected.8","XwAL00098","CFPACI","A","B","C",0.29231829105144
"i121","Reporter.intensity.corrected.9","XwAL00098","CFPACI","A","B","C",0.25191285462891
"i122","Reporter.intensity.corrected.10","XwAL00098","CFPACI","A","B","C",0.2570863542326
"i123","Reporter.intensity.corrected.11","XwAL00098","CFPACI","A","B","C",0.255505526382822
"i124","Reporter.intensity.corrected.12","XwAL00098","BxPC3","A","B","C",0.253694276531067
"i125","Reporter.intensity.corrected.13","XwAL00098","BxPC3","A","B","C",0.228654302295813
"i126","Reporter.intensity.corrected.14","XwAL00098","BxPC3","A","B","C",0.252459674503494
"i127","Reporter.intensity.corrected.15","XwAL00098","BxPC3","A","B","C",0.264523379129657
"i128","Reporter.intensity.corrected.16","XwAL00098","control","A","B","C",0.64332856689112
"i13","Reporter.intensity.corrected.13","XwAL00091","BxPC3","A","B","C",0.28815101401399
"i133","Reporter.intensity.corrected.5","XwAL00099","HPAFII","A","B","C",0.250321794706033
"i134","Reporter.intensity.corrected.6","XwAL00099","HPAFII","A","B","C",0.274657185467638
"i135","Reporter.intensity.corrected.7","XwAL00099","HPAFII","A","B","C",0.252799171431166
"i136","Reporter.intensity.corrected.8","XwAL00099","CFPACI","A","B","C",0.277540231612601
"i137","Reporter.intensity.corrected.9","XwAL00099","CFPACI","A","B","C",0.247289694908593
"i138","Reporter.intensity.corrected.10","XwAL00099","CFPACI","A","B","C",0.251219581689358
"i139","Reporter.intensity.corrected.11","XwAL00099","BxPC3","A","B","C",0.275464334028564
"i14","Reporter.intensity.corrected.14","XwAL00091","control","A","B","C",0.789585816170159
"i140","Reporter.intensity.corrected.12","XwAL00099","BxPC3","A","B","C",0.216312303778312
"i141","Reporter.intensity.corrected.13","XwAL00099","BxPC3","A","B","C",0.31823294342036
"i142","Reporter.intensity.corrected.14","XwAL00099","BxPC3","A","B","C",0.232070396181327
