From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
PLEC_MOUSE	Q9QXS1	PLEC_MOUSE	Plectin (PCN) (PLTN) (Plectin-1) (Plectin-6)	Plec Plec1	Mus musculus (Mouse)	4691
FINC_MOUSE	P11276	FINC_MOUSE	Fibronectin (FN) [Cleaved into: Anastellin]	Fn1	Mus musculus (Mouse)	2477
FLNA_MOUSE	Q8BTM8	FLNA_MOUSE	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	Flna Fln Fln1	Mus musculus (Mouse)	2647
FLNB_MOUSE	Q80X90	FLNB_MOUSE	Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin)	Flnb	Mus musculus (Mouse)	2602
VIME_MOUSE	P20152	VIME_MOUSE	Vimentin	Vim	Mus musculus (Mouse)	466
MYH9_MOUSE	Q8VDD5	MYH9_MOUSE	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	Myh9	Mus musculus (Mouse)	1960
SPTN1_MOUSE	P16546	SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	Sptan1 Spna2 Spta2	Mus musculus (Mouse)	2472
CLH1_MOUSE	Q68FD5	CLH1_MOUSE	Clathrin heavy chain 1	Cltc	Mus musculus (Mouse)	1675
PGBM_MOUSE	Q05793	PGBM_MOUSE	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) [Cleaved into: Endorepellin; LG3 peptide]	Hspg2	Mus musculus (Mouse)	3707
TLN1_MOUSE	P26039	TLN1_MOUSE	Talin-1	Tln1 Tln	Mus musculus (Mouse)	2541
KPYM_MOUSE	P52480	KPYM_MOUSE	Pyruvate kinase PKM (EC 2.7.1.40) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (EC 2.7.11.1) (Tyrosine-protein kinase PKM2) (EC 2.7.10.2)	Pkm Pk3 Pkm2 Pykm	Mus musculus (Mouse)	531
MYH10_MOUSE	Q61879	MYH10_MOUSE	Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)	Myh10	Mus musculus (Mouse)	1976
SPTB2_MOUSE	Q62261	SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)	Sptbn1 Elf Spnb-2 Spnb2 Sptb2	Mus musculus (Mouse)	2363
CO1A1_MOUSE	P11087	CO1A1_MOUSE	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	Col1a1 Cola1	Mus musculus (Mouse)	1453
ENPL_MOUSE	P08113	ENPL_MOUSE	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Endoplasmic reticulum resident protein 99) (ERp99) (Heat shock protein 90 kDa beta member 1) (Polymorphic tumor rejection antigen 1) (Tumor rejection antigen gp96)	Hsp90b1 Grp94 Tra-1 Tra1	Mus musculus (Mouse)	802
FLNC_MOUSE	Q8VHX6	FLNC_MOUSE	Filamin-C (FLN-C) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	Flnc Abpl Fln2	Mus musculus (Mouse)	2726
MYOF_MOUSE	Q69ZN7	MYOF_MOUSE	Myoferlin (Fer-1-like protein 3)	Myof Fer1l3 Kiaa1207	Mus musculus (Mouse)	2048
LRP1_MOUSE	Q91ZX7	LRP1_MOUSE	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	Lrp1 A2mr	Mus musculus (Mouse)	4545
EF2_MOUSE	P58252	EF2_MOUSE	Elongation factor 2 (EF-2) (EC 3.6.5.-)	Eef2	Mus musculus (Mouse)	858
HS90A_MOUSE	P07901	HS90A_MOUSE	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA)	Hsp90aa1 Hsp86 Hsp86-1 Hspca	Mus musculus (Mouse)	733
